USC00010430          37P    37P    36P    24P    24P    30P    31P    21P    29P    19P    27P    29P
USC00010440          39P    36P    37P    27P    24P    26P    36P    26P    26P    21P    30P    31P
USC00010505          42C    37C    38C    31C    33C    36C    37C    26C    25C    25C    37S    36S
USC00010583          38C    35S    34C    25C    31C    38C    51C    44C    31S    23C    30C    34C
USC00010655          35S    31C    36S    31C    30C    29C    28S    22C    26C    24C    34C    40S
USC00010764          38C    36C    40C    33C    35C    31C    34C    27C    24C    26C    34C    36C
USC00010957          36S    36S    38S    35P    32P    29S    36P    26P    22S    22S    33S    35S
USC00011080          44S    36C    34C    30C    33S    42C    49C    42C    29S    25C    34C    34C
USC00011084          40C    33C    33C    29C    32C    40C    47C    39S    32S    21S    35C    32S
USC00011099          41S    38S    43S    37S    37S    34S    39S    28S    29S    25S    34S    41S
USC00011178          29P    32P    37P    30P    18P    34P    37P    34P    25P    19P    29P    34P
USC00011288          37P    36P    33P    33P    30P    32P    31P    24P    25P    22P    35P    39P
USC00011301          40P    39P    36P    31P    27P    30P    33P    21P    18P    18P    35P    31P
USC00011377          38P    35P    38P    30P    35P    33P    34P    28P    23P    27P    35P    36P
USC00011620          37S    38C    35C    31C    29C    30C    30C    24C    21C    25C    32C    34C
USC00011690          36P    34S    33P    23P    27S    27S    32S    30S    22S    20S    33S    28S
USC00011694          38P    38P    35P    33P    26S    33S    36S    24S    24S    23S    35S    35S
USC00011810          37S    33S    32S    25S    30S    31S    31S    28S    20S    20S    34S    31S
USC00012096          44P    36P    36P    39P    40P    33P    31P    28P    26P    20P    37P    37P
USC00012172          36C    30C    31S    21S    24C    34C    38S    37C    31S    23C    27C    28S
USC00012245          36S    38C    33C    29C    28C    30C    31S    31C    24C    23S    31C    39S
USC00012577          41S    32S    38S    23S    32S    34P    43S    27S    26S    17S    30S    27S
USC00012675          35S    27S    32C    23S    22S    34C    40S    30S    24S    17S    28S    27S
USC00012730          33S    30C    35C    26S    20C    36S    35S    24S    21S    17S    25S    31S
USC00012758          41C    36C    31C    29C    32C    37S    45C    33C    26C    23C    32C    31C
USC00012813          36C    34C    32C    22C    24C    41C    48C    43C    31C    25C    31C    30C
USC00012840          27P    32P    31P    37P    26P    33P    24P    25P    20P    25P    33P    41P
USC00012883          40P    38P    35P    31P    29P    35P    36P    25P    21P    23P    36P    37P
USC00013043          35P    36P    31P    31P    30P    25P    35P    24P    25P    23P    33P    39P
USC00013154          38S    38S    35S    34S    34S    31S    33S    24S    22S    25S    35S    35S
USC00013160          34C    34C    37C    28C    28C    29C    27S    20S    17S    24C    31C    35S
USC00013251          39C    35C    37C    23C    23C    39C    39C    36C    26C    19C    29C    31C
USC00013271          37P    34P    35P    26P    25P    38P    36P    27P    27P    21P    34P    28P
USC00013430          35P    41P    37P    32P    33P    32P    27P    26P    23P    28P    30P    35P
USC00013511          36C    38C    34C    31C    32C    26S    32C    26C    23S    22S    33S    33S
USC00013519          36C    35C    38C    27C    29C    29S    37C    28C    22C    22C    33C    31C
USC00013573          33S    37S    37S    37S    29S    30S    32S    24S    21S    22S    31S    35S
USC00013575          40P    36P    32P    32P    27P    31P    30P    23P    22P    17P    31P    35P
USC00013620          37C    43C    40C    36C    39C    34C    37S    30S    27S    27S    38S    42C
USC00013645          37C    39C    32C    35S    36C    35C    31C    27C    22C    27C    36C    41C
USC00013655          43P    37P    39P    33P    36P    32P    30P    22P    27P    21P    36P    35P
USC00013761          34S    33S    35S    24S    23S    34S    36S    28C    26S    17C    25C    27S
USC00013775          35S    39S    35S    33S    34S    30S    35S    22S    23S    23S    34S    33S
