USC00013930          15C    16S    15C    11C    12S    11C    12C     8C    13C    12S    18C    12C
USC00014080          16P    16P    20P    11P    14P    11P    17P    10P    11P    11P    16P    14P
USC00014193          15P    19S    21S    16P    16P    15S    17S    16S    11S    12S    17P    18P
USC00014209          13P    14S    17S    15S    12S    11S    13P    10P    10P    10S    13S    12S
USC00014226          18S    21S    19S    19S    17S    16S    16S    10S    13S    14S    16S    20P
USC00014274          16C    15S    21C    13S    12C    11S    16S    13C    15S     9C    19C    15C
USC00014306          11P    16P    13P    14P    11P     9P    13P    10P     9P     7P    14P    11P
USC00014431          19P    18P    22P    13P    15P    17P    20P    14P    13P     9P    18P    11P
USC00014502          17S    17S    20S    14S    11S    10S    17S     9S    13S    10S    12S    14S
USC00014603           9P    15P    16P    10P     8P    10P    13P     8P     8P     8P    14P    15P
USC00014619          19S    16S    19S    16S    15S    19S    18S    14S    16S    15S    18S    17S
USC00014798          18S    21S    20C    15S    15C    12S    17S    15S    12S    16S    18S    14S
USC00014866          14P    14P    12P    12P    15P    11P    11P     7P    11P     5P    14P    12P
USC00015112          18P    19P    17P    16P    12P    10P    14P    11P    13P    10P    19P    13P
USC00015121          15C    17C    19C    17C    11C    14C    15C    12C    11C     9C    18C    17C
USC00015420          14S    17C    17C    12C    10C    13C    13C    11C     9C     9C    17C    17S
USC00015439          15S    17S    20S    12C    14S    10S    13S    12S    12S     7S    18C    12S
USC00015465          14P    20P    18P    13P    10P     9P    11P    11P    12P    10P    18P    18P
USC00015537          16P    16P    18P    15P    15P    15P    18P    10P    12P    10P    17P    16P
USC00015635          16S    15S    13S    13S    16S    12S    11S    11S     9S    12S    18S    18S
USC00015658          18S    19S    20S    18S    12S    12S    14S    12S    15S    12S    20S    13S
USC00016000          23P    16P    16P    18P    14P    14P    15P    11P    11P    10P    18P    15P
USC00016121          18S    19S    19P    15P    12P    16S    16S     8S    10S    10S    15S    17P
USC00016129          15S    19S    21P    12S     8S    14S    15S    10S     9P    10S    16S    15S
USC00016246          17S    16S    18S    14S    15S    15S    14S    11S    17S    12S    19S    14S
USC00016334          20P    22P    24P    16P    16P    14P    16P    12P    12P    12P    21P    16P
USC00016436          19C    18S    23C    15C    13C    13S    15S    12C    12C     9C    20S    17S
USC00016478          16C    15C    18C    14C    17C    11C     9C    13S    12C     9C    19C    13C
USC00016847          18S    21C    16C    17S    12S    13C    13S    11S    12C    13C    18C    17C
USC00016988          20S    18C    20C    11C    15C    20C    27S    21C    15S    11C    17S    16S
USC00017020          15P    22P    18P    14P    15P     8P    20P    16P    13P     9P    16P    18P
USC00017025          16P    16P    15P    12P    10P    13P    14P     9P     9P     8P    17P    16P
USC00017131          14C    14C    16C    17S    19S    11S    13S    12S    12S    13S    17S    16S
USC00017157          18C    22C    17C    16C    18C    12S    14S    12C    14C    13S    16C    17S
USC00017207          13C    16C    16C    13S    14C    12C    12C    10C    11S    10C    16S    15S
USC00017304          21S    18C    16S    11C    13P    13S    14S    11S    15S    11S    20S    20S
USC00017366          15S    16C    20C    14C    10C    11C    14C    15C    12S     8C    15C    16S
USC00017947          22P    19S    17S    18S    20S    15S    15S    14S    12S    13S    19S    19S
USC00017999          16S    18S    19S    14S    11S    13S    14S    11S    11S    11S    17S    15C
USC00018024          17C    21S    19S    12S    15S    14C    13C    10C    13C    11S    19S    14S
USC00018038          14C    18C    20C    13C    11C    13C    11C     8C    10S     9S    13C    14S
USC00018178          20S    16S    21S    13S    12S    15S    20C    10S    12C    10S    22C    19C
USC00018209          18S    17S    20S    15S    12S    15C    16C    15C    11S    12C    19S    15S
USC00018323          16S    14C    22C    14S    12S    17S    16S    14S    13S    10S    15S    14S
USC00018380          16C    22C    16C    15C    13S    16S    18S    13S    11S    12S    18S    15C
USC00018385          16S    18S    16S    15S    14S    14S    10S    10S    10S    15S    16S    12S
USC00018438          16C    16S    21C    13C    13C    16C    16C    13C    16S    10C    17C    14S
USC00018469          15C    15C    16C    13C    15C    10C    18C    10C    13C    11C    15C    15C
USC00018517          17P    18S    21P    17S    15S    14S    15P     9S     8S    13S    17P    18S
USC00018605          12P    19P    21P    11P    16P    11P    18P     8P    10P    11P    17P    17P
USC00018648          17P    19P    22P    15P    14P    16P    12P    12P    13P    10P    18P    17P
USC00018653          16P    19P    23P    15P    10P    12P    16P    12P    14P    12P    13P    13P
USC00018673          18C    20C    21C    16C    13C    11S    12S    12S     9C    12S    19C    15C
USC00018755          13P    13P    11P    12P    13P     6P    11P     7P     7P    11P    14P    12P
USC00018809          18C    17S    20C    13C    13C    14C    15C    11C    14C    12C    20C    16C
USC00018859          14C    18S    23S    13S    10C    14S    17C    12S    11S     8C    15S    14S
USC00018867          20S    21S    20S    14S    13S    17S    20S    10S    12P     9P    21P    16P
USC00018998          18S    18S    18S    16S    19C    18C    13C    13S    12C    13S    18C    18C
USC00020060           0P     2P     2S     0S     0S -7777S     2S     2P     1P     3P     1S     2S
USC00020080           1S -7777C     1S -7777S     0S     0S     1S     3S     2S     1S -7777C     1S
USC00020100           2C     2C -7777C     0C     0C     0S -7777C     3C     2C     2C     2S     1C
USC00020159           2S     1C     0S     1S     1S     1C     5C     7S     3C     4C     3C     3C
USC00020174           6P     3P     1P     2P     2P     1P     2P     4P     5P     5P     4P     5P
USC00020287           1C     0S     0S     0S     0C     0C     5C     5S     4C     1C     1C     2C
